CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,ReportDate,OffenseCount,Year
Person,Downtown,1/2/18,0745,Sex Offenses,Fondling,1/2/18,1,2018
Person,Downtown,1/4/18,0533,Kidnapping/Abduction,Kidnapping/Abduction,1/4/18,1,2018
Person,Downtown,1/4/18,0533,Sex Offenses,Fondling,1/4/18,1,2018
Property,Downtown,1/3/18,1531,Larceny Offenses,Theft From Building,1/3/18,1,2018
Person,Downtown,1/8/18,1230,Assault Offenses,Simple Assault,1/8/18,1,2018
Person,Downtown,1/8/17,2320,Assault Offenses,Intimidation,1/8/18,1,2018
Person,Downtown,12/30/17,0000,Assault Offenses,Simple Assault,1/8/18,1,2018
Person,Downtown,1/5/18,1410,Assault Offenses,Simple Assault,1/10/18,1,2018
Person,Downtown,1/21/18,1737,Homicide Offenses,Murder and Non-negligent Manslaughter,1/21/18,1,2018
Person,Downtown,1/20/18,0501,Sex Offenses,Fondling,1/20/18,1,2018
Person,Downtown,1/24/18,0549,Assault Offenses,Simple Assault,1/24/18,1,2018
Property,Downtown,11/1/17,1200,Larceny Offenses,All Other Larceny,1/22/18,1,2018
Person,Downtown,1/27/18,0035,Sex Offenses,Fondling,1/27/18,1,2018
Person,Downtown,1/27/18,1720,Assault Offenses,Simple Assault,1/27/18,1,2018
Property,Downtown,6/1/16,1200,Fraud Offenses,Identity Theft,1/27/18,1,2018
Person,Downtown,1/28/18,2328,Assault Offenses,Simple Assault,1/28/18,1,2018
Person,Downtown,1/29/18,0631,Assault Offenses,Simple Assault,1/29/18,1,2018
Society,Downtown,1/29/18,0631,Weapon Law Violations,Weapons Law Violations,1/29/18,1,2018
Property,Downtown,1/1/13,0800,Counterfeiting/Forgery,Counterfeiting/Forgery,1/29/18,1,2018
Property,Downtown,1/1/13,0800,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1/29/18,1,2018
Property,Downtown,1/1/13,0800,Fraud Offenses,Identity Theft,1/29/18,1,2018
Person,Downtown,1/30/18,1835,Assault Offenses,Simple Assault,1/30/18,1,2018
Property,Downtown,1/30/18,1835,Vandalism,Vandalism,1/30/18,1,2018
Property,Downtown,5/1/15,1655,Fraud Offenses,Identity Theft,1/31/18,1,2018
Person,Downtown,2/3/18,2212,Assault Offenses,Simple Assault,2/3/18,1,2018
Society,Downtown,2/3/18,2212,Drug/Narcotic Offenses,Drug/Narcotic Violations,2/3/18,1,2018
Person,Downtown,2/3/18,0000,Assault Offenses,Simple Assault,2/3/18,1,2018
Person,Downtown,2/4/18,0048,Assault Offenses,Simple Assault,2/4/18,1,2018
Property,Downtown,1/14/18,1230,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1/14/18,1,2018
Person,Downtown,2/11/18,0406,Assault Offenses,Simple Assault,2/11/18,1,2018
Person,Downtown,2/14/18,2226,Assault Offenses,Simple Assault,2/14/18,1,2018
Property,Downtown,2/14/18,2226,Vandalism,Vandalism,2/14/18,1,2018
