year,bedrooms,fmrent
2010,Studio,626
2010,Studio,675
2010,Studio,665
2010,Studio,659
2010,Studio,666
2011,Studio,682
2011,Studio,886
2011,Studio,946
2011,Studio,1026
2011,Studio,1131
2012,Studio,1192
2012,Studio,1245
2012,Studio,1416
2012,Studio,1500
2012,1-Bedroom,726
2013,1-Bedroom,783
2013,1-Bedroom,771
2013,1-Bedroom,766
2013,1-Bedroom,774
2013,1-Bedroom,793
2014,1-Bedroom,1021
2014,1-Bedroom,1053
2014,1-Bedroom,1132
2014,1-Bedroom,1234
2014,1-Bedroom,1289
2015,1-Bedroom,1331
2015,1-Bedroom,1512
2015,1-Bedroom,1610
2015,2-Bedroom,839
2015,2-Bedroom,905
2016,2-Bedroom,891
2016,2-Bedroom,912
2016,2-Bedroom,922
2016,2-Bedroom,944
2016,2-Bedroom,1208
2017,2-Bedroom,1242
2017,2-Bedroom,1330
2017,2-Bedroom,1441
2017,2-Bedroom,1495
2017,2-Bedroom,1536
2018,2-Bedroom,1735
2018,2-Bedroom,1839
2018,3-Bedroom,1222
2018,3-Bedroom,1318
2018,3-Bedroom,1297
2019,3-Bedroom,1344
2019,3-Bedroom,1359
2019,3-Bedroom,1391
2019,3-Bedroom,1757
2019,3-Bedroom,1808
2020,3-Bedroom,1935
2020,3-Bedroom,2084
2020,3-Bedroom,2157
2020,3-Bedroom,2193
2020,3-Bedroom,2451
2021,3-Bedroom,2574
2021,4-Bedroom,1467
2021,4-Bedroom,1583
2021,4-Bedroom,1558
2021,4-Bedroom,1615
2022,4-Bedroom,1633
2022,4-Bedroom,1672
2022,4-Bedroom,2109
2022,4-Bedroom,2188
2022,4-Bedroom,2343
2023,4-Bedroom,2531
2023,4-Bedroom,2625
2023,4-Bedroom,2657
2023,4-Bedroom,2903
2023,4-Bedroom,2995
