GEOID1,GEOID2,Subset,County,State,Continent,variable,estimate,moe,year,Tag
41051,72127,,San Juan Municipio, Puerto Rico,,MOVEDIN,,,2010,UST
41051,72127,,San Juan Municipio, Puerto Rico,,MOVEDNET,,,2010,UST
41051,72000,,, Puerto Rico,,MOVEDOUT,,,2010,UST
41051,72000,,, Puerto Rico,,MOVEDNET,,,2010,UST
41051,,,,,Africa,MOVEDOUT,,,2010,OOC
41051,,,,,Africa,MOVEDNET,,,2010,OOC
41051,,,,,Asia,MOVEDOUT,,,2010,OOC
41051,,,,,Asia,MOVEDNET,,,2010,OOC
41051,,,,,Central America,MOVEDOUT,,,2010,OOC
41051,,,,,Central America,MOVEDNET,,,2010,OOC
41051,,,,,Caribbean,MOVEDOUT,,,2010,OOC
41051,,,,,Caribbean,MOVEDNET,,,2010,OOC
41051,,,,,Europe,MOVEDOUT,,,2010,OOC
41051,,,,,Europe,MOVEDNET,,,2010,OOC
41051,,,,U.S. Island Areas,,MOVEDOUT,,,2010,UST
41051,,,,U.S. Island Areas,,MOVEDNET,,,2010,UST
41051,,,,,Northern America,MOVEDOUT,,,2010,OOC
41051,,,,,Northern America,MOVEDNET,,,2010,OOC
41051,,,,,Oceania and At Sea,MOVEDOUT,,,2010,OOC
41051,,,,,Oceania and At Sea,MOVEDNET,,,2010,OOC
41051,,,,,South America,MOVEDOUT,,,2010,OOC
41051,,,,,South America,MOVEDNET,,,2010,OOC
41051,,,,U.S. Island Areas,,MOVEDOUT,,,2015,UST
41051,,,,U.S. Island Areas,,MOVEDNET,,,2015,UST
41051,,,,,Africa,MOVEDOUT,,,2015,OOC
41051,,,,,Africa,MOVEDNET,,,2015,OOC
41051,,,,,Asia,MOVEDOUT,,,2015,OOC
41051,,,,,Asia,MOVEDNET,,,2015,OOC
41051,,,,,Caribbean,MOVEDOUT,,,2015,OOC
41051,,,,,Caribbean,MOVEDNET,,,2015,OOC
41051,,,,,Central America,MOVEDOUT,,,2015,OOC
41051,,,,,Central America,MOVEDNET,,,2015,OOC
41051,,,,,Europe,MOVEDOUT,,,2015,OOC
41051,,,,,Europe,MOVEDNET,,,2015,OOC
41051,,,,,Northern America,MOVEDOUT,,,2015,OOC
41051,,,,,Northern America,MOVEDNET,,,2015,OOC
41051,,,,,Oceania and At Sea,MOVEDOUT,,,2015,OOC
41051,,,,,Oceania and At Sea,MOVEDNET,,,2015,OOC
41051,,,,,South America,MOVEDOUT,,,2015,OOC
41051,,,,,South America,MOVEDNET,,,2015,OOC
41051,,,,U.S. Island Areas,,MOVEDOUT,,,2018,UST
41051,,,,U.S. Island Areas,,MOVEDNET,,,2018,UST
41051,,,,,Africa,MOVEDOUT,,,2018,OOC
41051,,,,,Africa,MOVEDNET,,,2018,OOC
41051,,,,,Asia,MOVEDOUT,,,2018,OOC
41051,,,,,Asia,MOVEDNET,,,2018,OOC
41051,,,,,Caribbean,MOVEDOUT,,,2018,OOC
41051,,,,,Caribbean,MOVEDNET,,,2018,OOC
41051,,,,,Central America,MOVEDOUT,,,2018,OOC
41051,,,,,Central America,MOVEDNET,,,2018,OOC
41051,,,,,Europe,MOVEDOUT,,,2018,OOC
41051,,,,,Europe,MOVEDNET,,,2018,OOC
41051,,,,,Northern America,MOVEDOUT,,,2018,OOC
41051,,,,,Northern America,MOVEDNET,,,2018,OOC
41051,,,,,Oceania and At Sea,MOVEDOUT,,,2018,OOC
41051,,,,,Oceania and At Sea,MOVEDNET,,,2018,OOC
41051,,,,,South America,MOVEDOUT,,,2018,OOC
41051,,,,,South America,MOVEDNET,,,2018,OOC
