movement,estimate,year,or_county,location,tag
MOVEDIN,84,2010,Baker County,Oregon,IS
MOVEDOUT,0,2010,Baker County,Oregon,IS
MOVEDNET,84,2010,Baker County,Oregon,IS
MOVEDIN,99,2011,Baker County,Oregon,IS
MOVEDOUT,50,2011,Baker County,Oregon,IS
MOVEDNET,49,2011,Baker County,Oregon,IS
MOVEDIN,99,2012,Baker County,Oregon,IS
MOVEDOUT,19,2012,Baker County,Oregon,IS
MOVEDNET,80,2012,Baker County,Oregon,IS
MOVEDIN,244,2013,Baker County,Oregon,IS
MOVEDOUT,29,2013,Baker County,Oregon,IS
MOVEDNET,215,2013,Baker County,Oregon,IS
MOVEDIN,239,2014,Baker County,Oregon,IS
MOVEDOUT,30,2014,Baker County,Oregon,IS
MOVEDNET,209,2014,Baker County,Oregon,IS
MOVEDIN,263,2015,Baker County,Oregon,IS
MOVEDOUT,48,2015,Baker County,Oregon,IS
MOVEDNET,215,2015,Baker County,Oregon,IS
MOVEDIN,341,2016,Baker County,Oregon,IS
MOVEDOUT,38,2016,Baker County,Oregon,IS
MOVEDNET,303,2016,Baker County,Oregon,IS
MOVEDIN,306,2017,Baker County,Oregon,IS
MOVEDOUT,54,2017,Baker County,Oregon,IS
MOVEDNET,252,2017,Baker County,Oregon,IS
MOVEDIN,273,2018,Baker County,Oregon,IS
MOVEDOUT,89,2018,Baker County,Oregon,IS
MOVEDNET,184,2018,Baker County,Oregon,IS
MOVEDIN,197,2019,Baker County,Oregon,IS
MOVEDOUT,129,2019,Baker County,Oregon,IS
MOVEDNET,68,2019,Baker County,Oregon,IS
MOVEDIN,232,2020,Baker County,Oregon,IS
MOVEDOUT,112,2020,Baker County,Oregon,IS
MOVEDNET,120,2020,Baker County,Oregon,IS
MOVEDIN,792,2010,Benton County,Oregon,IS
MOVEDOUT,832,2010,Benton County,Oregon,IS
MOVEDNET,-40,2010,Benton County,Oregon,IS
MOVEDIN,797,2011,Benton County,Oregon,IS
MOVEDOUT,755,2011,Benton County,Oregon,IS
MOVEDNET,42,2011,Benton County,Oregon,IS
MOVEDIN,729,2012,Benton County,Oregon,IS
MOVEDOUT,691,2012,Benton County,Oregon,IS
MOVEDNET,38,2012,Benton County,Oregon,IS
MOVEDIN,784,2013,Benton County,Oregon,IS
MOVEDOUT,641,2013,Benton County,Oregon,IS
MOVEDNET,143,2013,Benton County,Oregon,IS
MOVEDIN,888,2014,Benton County,Oregon,IS
MOVEDOUT,666,2014,Benton County,Oregon,IS
MOVEDNET,222,2014,Benton County,Oregon,IS
MOVEDIN,726,2015,Benton County,Oregon,IS
MOVEDOUT,648,2015,Benton County,Oregon,IS
MOVEDNET,78,2015,Benton County,Oregon,IS
MOVEDIN,691,2016,Benton County,Oregon,IS
MOVEDOUT,774,2016,Benton County,Oregon,IS
MOVEDNET,-83,2016,Benton County,Oregon,IS
MOVEDIN,712,2017,Benton County,Oregon,IS
MOVEDOUT,737,2017,Benton County,Oregon,IS
MOVEDNET,-25,2017,Benton County,Oregon,IS
MOVEDIN,675,2018,Benton County,Oregon,IS
MOVEDOUT,846,2018,Benton County,Oregon,IS
