GEOID,NAME,variable,estimate,moe,year
41003,"Benton County, Oregon",B19013_001,45913,5983,2010
41003,"Benton County, Oregon",B19013_001,42513,3974,2011
41003,"Benton County, Oregon",B19013_001,51133,5803,2012
41003,"Benton County, Oregon",B19013_001,47808,4436,2013
41003,"Benton County, Oregon",B19013_001,52486,6621,2014
41003,"Benton County, Oregon",B19013_001,52852,5818,2015
41003,"Benton County, Oregon",B19013_001,55459,3522,2016
41003,"Benton County, Oregon",B19013_001,60260,4579,2017
41003,"Benton County, Oregon",B19013_001,63773,6403,2018
41003,"Benton County, Oregon",B19013_001,70835,5994,2019
41003,"Benton County, Oregon",B19013_001,64163,5331,2021
41003,"Benton County, Oregon",B19013_001,68524,5193,2022
41003,"Benton County, Oregon",B19013_001,73047,7809,2023
41005,"Clackamas County, Oregon",B19013_001,57298,2749,2010
41005,"Clackamas County, Oregon",B19013_001,58055,2240,2011
41005,"Clackamas County, Oregon",B19013_001,64410,2337,2012
41005,"Clackamas County, Oregon",B19013_001,66758,2466,2013
41005,"Clackamas County, Oregon",B19013_001,65316,2903,2014
41005,"Clackamas County, Oregon",B19013_001,69629,2898,2015
41005,"Clackamas County, Oregon",B19013_001,74891,3232,2016
41005,"Clackamas County, Oregon",B19013_001,79878,3062,2017
41005,"Clackamas County, Oregon",B19013_001,81278,2579,2018
41005,"Clackamas County, Oregon",B19013_001,80294,4259,2019
41005,"Clackamas County, Oregon",B19013_001,91329,2692,2021
41005,"Clackamas County, Oregon",B19013_001,97419,4930,2022
41005,"Clackamas County, Oregon",B19013_001,100675,3465,2023
41017,"Deschutes County, Oregon",B19013_001,44680,3893,2010
41017,"Deschutes County, Oregon",B19013_001,46984,3985,2011
41017,"Deschutes County, Oregon",B19013_001,47576,3476,2012
41017,"Deschutes County, Oregon",B19013_001,46791,5216,2013
41017,"Deschutes County, Oregon",B19013_001,52006,3650,2014
41017,"Deschutes County, Oregon",B19013_001,57373,5618,2015
41017,"Deschutes County, Oregon",B19013_001,61870,3790,2016
41017,"Deschutes County, Oregon",B19013_001,66273,4568,2017
41017,"Deschutes County, Oregon",B19013_001,67577,3751,2018
41017,"Deschutes County, Oregon",B19013_001,71643,5972,2019
41017,"Deschutes County, Oregon",B19013_001,79796,7449,2021
41017,"Deschutes County, Oregon",B19013_001,82052,9399,2022
41017,"Deschutes County, Oregon",B19013_001,97163,6778,2023
41019,"Douglas County, Oregon",B19013_001,36510,2831,2010
41019,"Douglas County, Oregon",B19013_001,38502,3260,2011
41019,"Douglas County, Oregon",B19013_001,39757,2918,2012
41019,"Douglas County, Oregon",B19013_001,40605,2587,2013
41019,"Douglas County, Oregon",B19013_001,42000,3139,2014
41019,"Douglas County, Oregon",B19013_001,41428,3670,2015
41019,"Douglas County, Oregon",B19013_001,42889,3357,2016
41019,"Douglas County, Oregon",B19013_001,47746,3337,2017
41019,"Douglas County, Oregon",B19013_001,47004,3312,2018
41019,"Douglas County, Oregon",B19013_001,48585,3412,2019
41019,"Douglas County, Oregon",B19013_001,51166,4045,2021
41019,"Douglas County, Oregon",B19013_001,54387,5825,2022
41019,"Douglas County, Oregon",B19013_001,60889,7078,2023
41029,"Jackson County, Oregon",B19013_001,40177,2436,2010
41029,"Jackson County, Oregon",B19013_001,39138,2886,2011
41029,"Jackson County, Oregon",B19013_001,44810,2045,2012
41029,"Jackson County, Oregon",B19013_001,43363,3149,2013
41029,"Jackson County, Oregon",B19013_001,44918,2894,2014
41029,"Jackson County, Oregon",B19013_001,43948,3862,2015
41029,"Jackson County, Oregon",B19013_001,48563,2982,2016
