area,direct_vacancy,total_vacancy,total_available,year
Central Business District,9.30%,10.00%,15.00%,2018
Pearl District/Chinatown,4%,4%,7.70%,2018
All Downtown,9.20%,9.90%,14.30%,2018
Central Business District,11%,11.80%,15.80%,2019
Pearl District/Chinatown,2.20%,3.90%,6.20%,2019
All Downtown,10.40%,11.10%,15.50%,2019
Central Business District,13.03%,14.04%,18.50%,2020
Pearl District/Chinatown,9.93%,10.15%,18.14%,2020
All Downtown,12.77%,14%,18.47%,2020
Central Business District,16.80%,18.50%,24.20%,2021
Pearl District/Chinatown,22.10%,24.60%,30.90%,2021
All Downtown,17.40%,19.10%,24.80%,2021
Central Business District,19.40%,21.60%,27.30%,2022
Pearl District/Chinatown,19.30%,26%,26.30%,2022
All Downtown,19.40%,22%,27.20%,2022
Central Business District,20.90%,22.90%,28.40%,2023
Pearl District/Chinatown,17.80%,23.50%,26.50%,2023
All Downtown,19.60%,21.80%,28.20%,2023
Central Business District,23.90%,25.90%,29.40%,2024
Pearl District/Chinatown,30.70%,31.10%,30%,2024
All Downtown,24.60%,26.40%,29.50%,2024
