County,location,year,building_starts,cost_ratio,overall_homeless,homeless_percapita,govt_spend,rc_project,total_units,rc_units,rc_status
Lane,Eugene,2019,,,,,,447 E 15th Ave,6,,
Lane,Eugene,2019,,,,,,1011 Abbie Ln,25,,
Lane,Eugene,2019,,,,,,2670 Edgewood Dr,40,,
Lane,Eugene,2019,,,,,,1533 Arthur St,2,,
Lane,Eugene,2019,,,,,,100 E 11th Ave,54,,
Lane,Eugene,2019,,,,,,3077 Matt Dr,48,,
Lane,Eugene,2019,,,,,,2525 Portland St,21,,
Lane,Eugene,2019,,,,,,2420 Willakenzie Rd,36,,
Lane,Eugene,2019,,,,,,25 W 30th Ave,3,,
Lane,Eugene,2019,,,,,,1121 Coburg Rd,35,,
Lane,Eugene,2019,,,,,,850 Hunsaker Ln,,,
Lane,Eugene,2019,,,,,,2111 W 12th,90,,
Lane,Eugene,2019,,,,,,1877 Brewer Ave,79,,
Lane,Eugene,2019,,,,,,2784 Willakenzie Rd,65,,
Lane,Eugene,2019,,,,,,120 N Garfield St,9,,
Lane,Eugene,2019,,,,,,2755 W Lone Oak Lp,34,,
Lane,Eugene,2019,,,,,,2988 Oak St,35,,
Lane,Eugene,2019,,,,,,3400 Hawthorne Ave,30,,
Lane,Eugene,2019,,,,,,342 Hope Lp,12,,
Lane,Eugene,2019,,,,,,3450 Jacobs Ln,63,,
Lane,Eugene,2019,,,,,,1755 Kingsley Rd,68,,
Lane,Eugene,2019,,,,,,1135 Hayes St,35,,
Lane,Eugene,2019,,,,,,190 E 24th Ave,15,,
Lane,Eugene,2019,,,,,,3420 Jacobs Ln,17,,
Lane,Eugene,2019,,,,,,1775 W 12th Ave,41,,
Lane,Eugene,2019,,,,,,1880 Cleveland St,16,,
Lane,Eugene,2019,,,,,,377 W 8th Ave,51,,
Lane,Eugene,2019,,,,,,1055 Bennett Ln,24,,
Lane,Eugene,2019,,,,,,433 W 8th Ave,9,,
Lane,Eugene,2019,,,,,,2855 Matt Dr,38,,
Lane,Eugene,2019,,,,,,335 W 2nd Ave,40,,
Lane,Eugene,2019,,,,,,205 Green Ln,14,,
Lane,Eugene,2019,,,,,,1665 Oakpatch Rd,72,,
Lane,Eugene,2019,,,,,,1133 Olive St,150,,
Lane,Eugene,2019,,,,,,Willakenzie Dr & Kings Dr,20,,
Lane,Eugene,2019,,,,,,255 High St,36,,
Lane,Eugene,2019,,,,,,584 N Danebo Ave,65,,
Lane,Eugene,2019,,,,,,4103 W 18th Ave,232,,
Lane,Eugene,2019,,,,,,1210 Acorn Park Dr,31,,
Lane,Eugene,2019,,,,,,50 Kourt Dr,20,,
Lane,Eugene,2019,,,,,,2640 Ross Ln; 500 Helen,36,,
Lane,Eugene,2019,,,,,,120 Santa Clara Ave,60,,
Lane,Eugene,2019,,,,,,2475 Sheldon Village Lp,78,,
Lane,Eugene,2019,,,,,,938 Jefferson St,9,,
Lane,Eugene,2019,,,,,,3400 Hawthorne Ave,94,,
Lane,Eugene,2019,,,,,,535 Betty Niven Dr,22,,
Lane,Eugene,2019,,,,,,1541 City View,11,,
Lane,Eugene,2019,,,,,,975 Hatton Ave,27,,
Lane,Eugene,2019,,,,,,951 W 7th Ave,25,,
Lane,Eugene,2019,,,,,,3608 W 18th Ave,67,,
Lane,Eugene,2019,,,,,,925 Hatton Ave,38,,
Lane,Eugene,2019,,,,,,1459 City View St,10,,
Lane,Eugene,2019,,,,,,265 W 8th Ave,102,,
Lane,Eugene,2019,,,,,,3057 Willakenzie Rd,56,,
Lane,Eugene,2019,,,,,,3202 Willakenzie Rd,25,,
Lane,Eugene,2019,,,,,,3545 Kinsrow Ave,240,,
Lane,Eugene,2019,,,,,,2966 Willamette St,12,,
Lane,Eugene,2019,,,,,,745 Woodleaf Ln,60,,
Lane,Eugene,2019,,,,,,350 Pearl St,222,,
Marion,Salem,2019,,,,,,3300 Portland Rd NE,5,,
Marion,Salem,2019,,,,,,3202 Bluff Ave SE,20,,
Marion,Salem,2019,,,,,,643 Manbrin NE Dr,10,,
Marion,Salem,2019,,,,,,4169 Campus Lp NE,47,,
Marion,Salem,2019,,,,,,1165 Chemeketa St NE,35,,
Marion,Salem,2019,,,,,,2911 Saddle Club Ct SE,,,
Marion,Salem,2019,,,,,,3350 Portland Rd NE,180,,
Marion,Salem,2019,,,,,,4170 State St,5,,
Marion,Salem,2019,,,,,,3140 Tess Ave NE,50,,
Marion,Salem,2019,,,,,,1068 Park Ave NE,54,,
Marion,Salem,2019,,,,,,1810 32nd Pl NE,49,,
Marion,Salem,2019,,,,,,3312 Sunnyview Ave NE,16,,
Marion,Salem,2019,,,,,,1905 Sizemore Dr NE,12,,
Marion,Salem,2019,,,,,,1083 23rd St NE,24,,
Marion,Salem,2019,,,,,,1355 4th St NE,6,,
Marion,Salem,2019,,,,,,1230 Highland Ave NE,9,,
Marion,Salem,2019,,,,,,1217 Highland Ave NE,16,,
Marion,Salem,2019,,,,,,1237 Highland Ave NE,4,,
Marion,Salem,2019,,,,,,1262 Highland Ave NE,16,,
Marion,Salem,2019,,,,,,1551 Center St NE,75,,
Marion,Salem,2019,,,,,,2585 Lee St SE,8,,
Marion,Salem,2019,,,,,,4550 Liberty Rd NE,,,
Marion,Salem,2019,,,,,,1250 Marilyn St SE,4,,
Marion,Salem,2019,,,,,,200 25th St NE,31,,
Marion,Salem,2019,,,,,,3837 12th St SE,56,,
Marion,Salem,2019,,,,,,4100 Kacey Cir NE,224,,
Marion,Salem,2019,,,,,,3143 7th Pl NE,124,,
Marion,Salem,2019,,,,,,3524 Fisher Rd NE,67,,
Marion,Salem,2019,,,,,,1725 Evergreen Ave NE,28,,
Marion,Salem,2019,,,,,,2981 River Rd N,10,,
Marion,Salem,2019,,,,,,370 Church St SE,62,,
Marion,Salem,2019,,,,,,4085 Market St NE,64,,
Marion,Salem,2019,,,,,,1903 Fairgrounds Rd NE,38,,
Marion,Salem,2019,,,,,,375 Fairview Ave SE,60,,
Marion,Salem,2019,,,,,,539 Statesman NE,12,,
Marion,Salem,2019,,,,,,3864 Sunnyview Rd NE,140,,
Marion,Salem,2019,,,,,,4810 Sunnyside Rd SE,58,,
Marion,Salem,2019,,,,,,1000 Cunningham Ln S,50,,
Marion,Salem,2019,,,,,,4300 Rickey St SE,8,,
Marion,Salem,2019,,,,,,2416 State St,3,,
Marion,Salem,2019,,,,,,3424 Fairhaven Ave NE,87,,
Marion,Salem,2019,,,,,,108 Village East Wy SE,112,,
Marion,Salem,2019,,,,,,1134 Waller St SE,22,,
Marion,Salem,2019,,,,,,2579 Lee St SE,,,
Marion,Salem,2019,,,,,,2029 Winter St SE,12,,
Multnomah,Portland,2019,,,,,,1220 SW 12th Ave,89,,
Multnomah,Portland,2019,,,,,,1515 SW 12th Ave,119,,
Multnomah,Portland,2019,,,,,,3033 NE Rodney Ave,5,,
Multnomah,Portland,2019,,,,,,333 SW Oak St,90,,
Multnomah,Portland,2019,,,,,,7104 SE Foster,101,,
Multnomah,Portland,2019,,,,,,6119 SE 93rd Ave,20,,
Multnomah,Portland,2019,,,,,,626 NE Brazee,18,,
Multnomah,Portland,2019,,,,,,1650 NW 13th Ave,155,,
Multnomah,Portland,2019,,,,,,910 SW Park Ave,37,,
Multnomah,Portland,2019,,,,,,1515 N Ainsworth St,88,,
Multnomah,Portland,2019,,,,,,6611 NE Martin Luther King Jr Blvd,74,,
Multnomah,Portland,2019,,,,,,5010 NE 19th Ave,24,,
Multnomah,Portland,2019,,,,,,409 NE San Rafael St,48,,
Multnomah,Portland,2019,,,,,,4012 N Borthwick Ave,8,,
Multnomah,Portland,2019,,,,,,523 SW 13th Ave,132,,
Multnomah,Portland,2019,,,,,,221 NE Fremont St,64,,
Multnomah,Portland,2019,,,,,,204 SW 8th Ave,106,,
Multnomah,Portland,2019,,,,,,12016 SE Ankeny St,42,,
Multnomah,Portland,2019,,,,,,2609 SE 145th Ave,96,,
Multnomah,Portland,2019,,,,,,12026 SE Ash St,47,,
Multnomah,Portland,2019,,,,,,11230 SW 62nd Ave,21,,
Multnomah,Portland,2019,,,,,,5025 NE 8th Ave,22,,
Multnomah,Portland,2019,,,,,,2322 N Williams Ave,33,,
Multnomah,Portland,2019,,,,,,3123 SE 8th Ave,19,,
Multnomah,Portland,2019,,,,,,3368 NE MLK Blvd,80,,
Multnomah,Portland,2019,,,,,,3650 NE Malloy St,32,,
Multnomah,Portland,2019,,,,,,1001 N Blandena St,10,,
Multnomah,Portland,2019,,,,,,7901 SE 92nd Ave,40,,
Multnomah,Portland,2019,,,,,,3340 SE Morrison St,81,,
Multnomah,Portland,2019,,,,,,3917 N Mississippi Ave,9,,
Multnomah,Portland,2019,,,,,,9305 SE Harold St,14,,
Multnomah,Portland,2019,,,,,,310 NW 6th Ave,75,,
Multnomah,Portland,2019,,,,,,25 NE 122nd Ave,124,,
Multnomah,Portland,2019,,,,,,2034 NE 40th Ave,48,,
Multnomah,Portland,2019,,,,,,3302 SE 122nd Ave,22,,
Multnomah,Portland,2019,,,,,,6816 N Trumbull Ave,13,,
Multnomah,Portland,2019,,,,,,8238 NE Broadway,58,,
Multnomah,Portland,2019,,,,,,1434 SW Morrison St,50,,
Multnomah,Portland,2019,,,,,,430 NE 16th Ave,144,,
Multnomah,Portland,2019,,,,,,655 NW Hoyt St,130,,
Multnomah,Portland,2019,,,,,,2705 N Killingsworth St,7,,
Multnomah,Portland,2019,,,,,,14992 SE Division St,35,,
Multnomah,Portland,2019,,,,,,240 SE 160th Ave,21,,
Multnomah,Portland,2019,,,,,,610 NW Davis St,37,,
Multnomah,Portland,2019,,,,,,2164 NW Lovejoy St,12,,
Multnomah,Portland,2019,,,,,,5224 N Vancouver Ave,20,,
Multnomah,Portland,2019,,,,,,2601 N Lombard St,14,,
Multnomah,Portland,2019,,,,,,901 SE 162nd Ave,32,,
Multnomah,Portland,2019,,,,,,2830 N Williams Ave,30,,
Multnomah,Portland,2019,,,,,,3911 SE Milwaukie Ave,68,,
Multnomah,Portland,2019,,,,,,16060 E Burnside St,30,,
Multnomah,Portland,2019,,,,,,5241 NE Killingsworth St,24,,
Multnomah,Portland,2019,,,,,,5109 NE Killingsworth St,60,,
Multnomah,Portland,2019,,,,,,13907 SE Division St,12,,
Multnomah,Portland,2019,,,,,,10535 E Burnside St,74,,
Multnomah,Portland,2019,,,,,,5700 N Kerby Ave,102,,
Multnomah,Portland,2019,,,,,,8510 N Swift Way,98,,
Multnomah,Portland,2019,,,,,,130 NE Lombard St,5,,
Multnomah,Portland,2019,,,,,,7622 N Glouchester St,4,,
Multnomah,Portland,2019,,,,,,4605 NE 95th Ave,28,,
Multnomah,Portland,2019,,,,,,5845 NE Hoyt St,60,,
Multnomah,Portland,2019,,,,,,9020 N Central St,20,,
Multnomah,Portland,2019,,,,,,6905 N Interstate,51,,
Multnomah,Portland,2019,,,,,,1910 SE Stark St,10,,
Multnomah,Portland,2019,,,,,,1019 SW 10th Ave,83,,
Multnomah,Portland,2019,,,,,,1437 SE Martin Luther King Jr Blvd,22,,
Multnomah,Portland,2019,,,,,,527 SE Morrison St,90,,
Multnomah,Portland,2019,,,,,,2730 SE 92nd Ave,29,,
Multnomah,Portland,2019,,,,,,1730 SW Jefferson St,52,,
Multnomah,Portland,2019,,,,,,8320 NE Sandy Blvd,362,,
Multnomah,Portland,2019,,,,,,4629 NE 118th Ave,7,,
Multnomah,Portland,2019,,,,,,5800 NE Center Commons Wy,172,,
Multnomah,Portland,2019,,,,,,325 NW 18th Ave,18,,
Multnomah,Portland,2019,,,,,,4207 SE 37th Ave,10,,
Multnomah,Portland,2019,,,,,,6724 SE 72nd Ave,32,,
Multnomah,Portland,2019,,,,,,14135 SE Division St,20,,
Multnomah,Portland,2019,,,,,,SE 171st Ave and SE Division,78,,
Multnomah,Portland,2019,,,,,,915 NE Schuyler St,115,,
Multnomah,Portland,2019,,,,,,101 N Morris St,67,,
Multnomah,Portland,2019,,,,,,7003 NE 27th Ave,40,,
Multnomah,Portland,2019,,,,,,2700 SE 148th Ave,18,,
Multnomah,Portland,2019,,,,,,2645 SE 127th Ave,8,,
Multnomah,Portland,2019,,,,,,2545 E Burnside,30,,
Multnomah,Portland,2019,,,,,,17527 SE Pine St,7,,
Multnomah,Portland,2019,,,,,,100 NE 120th Ave,61,,
Multnomah,Portland,2019,,,,,,3709 SE 91st Ave,7,,
Multnomah,Portland,2019,,,,,,18208 SE Yamhill St,31,,
Multnomah,Portland,2019,,,,,,2016 SE 122nd Ave,17,,
Multnomah,Portland,2019,,,,,,2417 NE Rodney Ave,30,,
