tsVariable,desc
B19001_002,"Less than $10,000"
B19001_003,"$10,000 to $14,999"
B19001_004,"$15,000 to $19,999"
B19001_005,"$20,000 to $24,999"
B19001_006,"$25,000 to $29,999"
B19001_007,"$30,000 to $34,999"
B19001_008,"$35,000 to $39,999"
B19001_009,"$40,000 to $44,999"
B19001_010,"$45,000 to $49,999"
B19001_011,"$50,000 to $59,999"
B19001_012,"$60,000 to $74,999"
B19001_013,"$75,000 to $99,999"
B19001_014,"$100,000 to $124,999"
B19001_015,"$125,000 to $149,999"
B19001_016,"$150,000 to $199,999"
B19001_017,"$200,000 or more"
